SKU,Category,UnitCost,StorePrice,CostChangePct,Competitor_BigBoxDepot,Competitor_ValueMart,Competitor_QuickShop,WeeklyUnitsSold,DaysSinceLastChange,ElectronicShelfLabel,RelabelCost,Relabel
SKU10000,Grocery,1.74,3.06,6.98,2.46,3.34,2.22,71,108,0,0.47,1
SKU10001,Electronics,31.67,54.91,5.86,42.03,52.81,40.01,34,51,0,0.45,0
SKU10002,Household,17.18,24.37,2.27,26.55,28.43,26.72,91,196,1,0.06,1
SKU10003,Household,12.08,15.76,-8.49,15.8,15.93,18.13,54,254,1,0.05,1
SKU10004,Household,4.75,6.97,7.41,6.57,6.96,6.41,52,121,0,1.75,0
SKU10005,Apparel,11.56,13.97,2.49,16.32,16.79,15.43,78,137,0,2.18,0
SKU10006,PersonalCare,8.24,12.9,14.33,13.09,10.88,10.94,48,264,1,0.03,1
SKU10007,Grocery,3.16,4.42,9.16,4.88,5.15,4.77,46,214,0,1.2,0
SKU10008,Electronics,39.44,47.46,4.23,64.31,68.75,58.09,97,61,0,0.54,1
SKU10009,Grocery,2.04,3.6,2.63,3.58,2.81,3.22,31,222,0,1.96,1
SKU10010,PersonalCare,7.38,10.72,0.49,10.57,10.12,10.39,45,274,0,2.07,0
SKU10011,PersonalCare,7.83,13.44,-2.68,13.38,12.9,10.84,21,53,0,0.54,0
SKU10012,Electronics,30.42,46.55,-0.84,50.25,47.51,40.05,67,80,0,0.82,0
SKU10013,Apparel,5.45,7.79,1.45,8.09,8.42,7.31,24,248,0,1.8,0
SKU10014,Household,17.42,23.17,-2.64,28.51,26.0,25.36,104,141,0,1.15,0
SKU10015,Apparel,9.89,16.13,0.44,15.67,13.45,12.79,97,181,0,2.3,1
SKU10016,Household,9.34,12.31,5.95,15.61,12.84,12.04,54,362,0,0.42,1
SKU10017,Grocery,2.31,4.07,-2.38,2.73,3.57,3.36,64,107,0,1.08,1
SKU10018,Grocery,2.43,4.13,0.75,3.27,3.67,3.38,29,358,0,0.73,1
SKU10019,Grocery,5.21,7.96,0.42,6.8,7.02,7.16,65,195,0,1.24,0
SKU10020,Household,6.73,11.02,2.16,10.01,10.97,9.09,52,61,0,0.8,0
SKU10021,Household,10.97,14.69,-2.16,16.27,15.73,14.34,24,189,0,0.51,0
SKU10022,Electronics,62.39,93.31,-0.15,81.71,104.33,85.52,72,79,1,0.09,0
SKU10023,Grocery,2.7,4.45,-7.66,3.71,4.24,3.7,48,285,0,0.63,0
SKU10024,Household,8.86,12.04,0.85,13.01,14.09,13.81,80,38,1,0.08,0
SKU10025,Household,11.0,15.8,4.28,15.75,16.98,16.55,59,254,1,0.07,1
SKU10026,Grocery,5.94,10.5,4.3,8.62,9.27,7.87,29,52,0,0.93,1
SKU10027,Electronics,38.81,56.78,6.01,54.43,57.54,51.12,42,296,0,1.72,1
SKU10028,Household,7.82,9.94,-2.54,10.28,10.2,11.35,25,201,0,2.14,0
SKU10029,Grocery,2.23,3.13,2.74,3.4,3.13,3.14,24,142,1,0.04,1
SKU10030,Grocery,4.84,6.44,2.02,6.29,7.57,7.7,88,195,1,0.06,1
SKU10031,PersonalCare,6.12,7.35,0.58,9.47,9.57,7.9,34,176,1,0.06,1
